title,categories,primary_image,extra_images,description,price
Sculptural Bauble Floor Lamp,"floor lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/103609996_021_b14?fit=constrain&wid=1200&qlt=80,,Sculptural Bauble Floor Lamp — from Anthropologie.,$348 
Bainbridge Seagrass Floor Lamp,"floor lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/100287671_014_b14?fit=constrain&wid=1200&qlt=80,,Bainbridge Seagrass Floor Lamp — from Anthropologie.,$228 
Beatrice Wavy Shaded Floor Lamp,"floor lamp, lighting",https://images.urbndata.com/is/image/Anthropologie/103451209_658_k?fit=constrain&wid=1200&qlt=80,,Beatrice Wavy Shaded Floor Lamp — from Anthropologie.,$278 
Portima C Side Table - Walnut,"corner table, side table",https://cdn-images.article.com/products/SKU17919/2890x1500/image195344.jpg?w=1200&auto=compress&fit=max,,Portima C Side Table - Walnut — modern design from Article.,$199 
Color: Oak,"corner table, side table",https://cdn-images.article.com/variations/SKU17918/200x200/image195377.jpg?w=1200&auto=compress&fit=max,,Color: Oak — modern design from Article.,$199 
Amoeba Side Table - Walnut,"corner table, side table",https://cdn-images.article.com/products/SKU360/2890x1500/image202254.jpg?w=1200&auto=compress&fit=max,,Amoeba Side Table - Walnut — modern design from Article.,$149 
Color: White Oak,"corner table, side table",https://cdn-images.article.com/variations/SKU22178/200x200/image202270.jpg?w=1200&auto=compress&fit=max,,Color: White Oak — modern design from Article.,$149 
Vena Marble Side Table - Walnut,"corner table, side table",https://cdn-images.article.com/products/SKU3733/2890x1500/image132201.jpg?w=1200&auto=compress&fit=max,,Vena Marble Side Table - Walnut — modern design from Article.,$199 
Bocana Storage Side Table - Oak,"corner table, side table",https://cdn-images.article.com/products/SKU19539/2890x1500/image246235.jpg?w=1200&auto=compress&fit=max,,Bocana Storage Side Table - Oak — modern design from Article.,$349 
Maren Storage Side Table - Natural Oak,"corner table, side table",https://cdn-images.article.com/products/SKU29168/2890x1500/image234096.jpg?w=1200&auto=compress&fit=max,,Maren Storage Side Table - Natural Oak — modern design from Article.,$449 
"Tovi 42.5"" Coffee Table - Smoked Oak","center table, coffee table",https://cdn-images.article.com/products/SKU19551/2890x1500/image204749.jpg?w=1200&auto=compress&fit=max,,"Tovi 42.5"" Coffee Table - Smoked Oak — modern design from Article.",$399 
Color: Black,"center table, coffee table",https://cdn-images.article.com/variations/SKU19550/200x200/image204732.jpg?w=1200&auto=compress&fit=max,,Color: Black — modern design from Article.,$399 
"Baarlo 46"" Coffee Table - Oak","center table, coffee table",https://cdn-images.article.com/products/SKU18530/2890x1500/image219012.jpg?w=1200&auto=compress&fit=max,,"Baarlo 46"" Coffee Table - Oak — modern design from Article.",$699 
Color: Smoked Oak,"center table, coffee table",https://cdn-images.article.com/variations/SKU24273/200x200/image115139.jpg?w=1200&auto=compress&fit=max,,Color: Smoked Oak — modern design from Article.,$699 
Color: Black Ash,"center table, coffee table",https://cdn-images.article.com/variations/SKU24274/200x200/image145715.jpg?w=1200&auto=compress&fit=max,,Color: Black Ash — modern design from Article.,$699 
"Mara 31.5"" Marble Coffee Table - Walnut","center table, coffee table",https://cdn-images.article.com/products/SKU418/2890x1500/image148461.jpg?w=1200&auto=compress&fit=max,,"Mara 31.5"" Marble Coffee Table - Walnut — modern design from Article.",$399 
Laud Floor Mirror - Walnut,"full length mirror, mirrors",https://cdn-images.article.com/products/SKU19242/2890x1500/image120106.jpg?w=1200&auto=compress&fit=max,,Laud Floor Mirror - Walnut — modern design from Article.,$599 
Alma Wall Mirror - Smoky,"full length mirror, mirrors",https://cdn-images.article.com/products/SKU25257/2890x1500/image186049.jpg?w=1200&auto=compress&fit=max,,Alma Wall Mirror - Smoky — modern design from Article.,$269 
Alma Floor Mirror - Smoky,"full length mirror, mirrors",https://cdn-images.article.com/products/SKU29000/2890x1500/image219203.jpg?w=1200&auto=compress&fit=max,,Alma Floor Mirror - Smoky — modern design from Article.,$449 
Luras Wall Mirror - Walnut,"full length mirror, mirrors",https://cdn-images.article.com/products/SKU19344/2890x1500/image129175.jpg?w=1200&auto=compress&fit=max,,Luras Wall Mirror - Walnut — modern design from Article.,$319 
Beau Floor Mirror - Walnut,"full length mirror, mirrors",https://cdn-images.article.com/products/SKU3213/2890x1500/image118533.jpg?w=1200&auto=compress&fit=max,,Beau Floor Mirror - Walnut — modern design from Article.,$419 
Williams Wall Mirror - Walnut,"full length mirror, mirrors",https://cdn-images.article.com/products/SKU25506/2890x1500/image201828.jpg?w=1200&auto=compress&fit=max,,Williams Wall Mirror - Walnut — modern design from Article.,$249 
